file,name,name_kaytetye,audio,phrases,phrases_kaytetye,phrases_english
032_rlengke.png,Today,Rlengke,032_rlengke.mp3,032phrase_rlengke.mp3,Rlengke ayenge aperrernenyeye rtame.,I'm coming today.
033_arlweye.png,Father,Arlweye,033_arlweye.mp3,033phrase_arlweye.mpe,"Arlweye rteye atyengaye, nthekangkwerre repe? Awe, arrenye re apenhe arlelke apewethe.",Where's my father? Oh he's gone hunting over there.
034_kakeye.png,Older brother,Kakeye,034_kakeye.mp3,034phrase_kakeye.mp3,Kakeye rteye atyeyenge?,Where’s my big brother?
035_tyatye.png,Mother's father,"Tyatye, tyewarleye",035_tyatye.mp3,035phrase_tyatye_tyewarleye.mp3,"Atyewaleye rteye atyeyenge? Rwengkawe, nharte re entweyane arntetye.","Where is my grandfather (mother's father)? Not sure, there he is lying down sick."
036_atyerreye.png,Younger sibling,Atyerreye,036_atyerreye.mp3,036phrase_atyerreye.mp3,Atyerreye atyenge rteye? Nyarte atyeyenge atyerreye rteye? Nthekangkwerre re aytnarrenhe. Rwengke re apenhawe.,Where did my younger brother go? He's gone somewhere. I don't know where he went.
037_artwaleye.png,"Nephew, niece",Artwaleye,037_artwaleye.mp3,037phrase_artwaleye.mp3,"Artwaleye atyeyenge rteye? Nyartepe, artwaleye atyeyenge.",Wheres my sister's child? The handsign for which is like this.
038_altyeleye.png,Female cousin,Altyeleye,038_altyeleye.mp3,038phrase_altyeleye.mp3,Altyeleye rteye atyeyengaye? Aytnarrenhelke re. 'Rwengke re apelapenhe'.,"Where did my cousin just disappear to? 'I don't know, she went somewhere.'"
039_mpwerneye.png,"Spouse, Brother-in-law",Mpwerneye,039_mpwerneye.mp3,039phrase_mpwerneye.mp3,"Nharteye, mpwerneye, you gotta atyenge arrkare rteye?","Hey brother-in-law where is your sister, my wife."
040_nyanye.png,Mother's mother,Nyanye,040_nyanye.mp3,040phrase_nyanye.mp3,"Nyanye rteye atyeyenge? Nthekangkwerre aparte aytnarrelhaytenye. No arnpatyarrenhe re, aynewanthe ketye eletnhelaytenye, altherarrengele.",Where's my grandmother? I dont know she felt lonely and just left us and went somewhere.
041-alelawe.png,Wait,Alelawe,041_alelawe.mp3,041phrase_alelawe.mp3,Ye alelaperte nge anenawe! Alelaperte ayenge etarrengele alwene apertame.,You wait here for a while; I'll think about it and come back.
042_rlwaylpe.png,Kudaitcha,Rlwaylpe,042_rlwaylpe.mp3,,,
043_eltyemwerneye.png,Policeman,Eltyemwerneye,043_eltyemwerneye.mp3,043phrase_eltyemwerneye.mp3,"Pwertaye, nthelarte aynewanthe arntarrtyemeketye, eltyemwerneyele.","Watch out there is a policeman there, he might grab us!"
044_aherne.png,Handful of dirt,Aherne,044_aherne.mp3,044phrase_aherne.mp3,"Ye, ahernepe nyarte aynewantheyenge.",This is our ground (country).
045_angketye_amperlanteyane.png,Footprints,Angketye amperlanteyane,045_angketye_amperlanteyane.mp3,045phrase_angketye_amperlanteyane.mp3,"Tyelartaye, kwenyele apeke awatnkaperte tyelaperte angketye amperlanpanenhe.","Right here, there’s some tracks which might have been made yesterday or a few days ago. "
046_aherre_amperlanenhe.png,Kangaroo tracks,Aherre amperlanenhe,046_aherre_amperlanenhe.mp3,046phrase_aherre_amperlanenhe.mp3,"Ye aherr-arengepe aynanthe, amperl-arenke rtame.",We can follow these kangaroo tracks.
047_anteyanenke.png,People sitting,Anteyanenke,047_anteyanenke.mp3,047phrase_anteyanenke.mp3,Nhartepe erlkwe inenge anteyane lhangkelewe. Lhangkele anteyanewethe artnwengewe aylerantyewe.,"The old men are sitting down over there getting ready for business, to sing the ceremony for young men."
048_arntwe.png,"Rain, Water",Arntwe,048_arntwe.mp3,048phrase_arntwe.mp3,Ntyerrele arntwe.,Water is also called ‘ntyerrele’.
049_arelpe.png,Moon,Arelpe,049_arelpe.mp3,,,
050_aherrke.png,Sun,Aherrke,050_aherrke.mp3,050phrase_aherrke.mp3,"Aherrke-ketye ayenge anteyanawe, ileke-ketye ayenge anteyane, angketye aherrkele ayenge ampeketye.","I'm sitting down because of the prickles and because of the sun which is too hot, my feet might burn."
051_mataye.png,Cloud,Mataye,051_mataye.mp3,051phrase_mataye.mp3,"Mataye, nyarte aynanthe ayerrere theye erlwarerrantye, awe kngerrake theye apeke, mataye nyartepe apeyayterane, arntwe alkenhe apeke atntheyetnyewethe.",I can see the rain clouds are coming from the north and the east. We might get a big rain storm.
052_ngentye.png,Soakage,Ngentye,052_ngentye.mp3,,,
053_kwerralye_erltwe.png,Morning star,Kwerralye erltwe,053_kwerralye_erltwe.mp3,053phrase_kwerralye_erltwe.mp3,Arene errwanthawe! Kngerrake erlwayteye kwerralye erltwe.,"Hey look over there in the east, the morning star will rise!"
054_mwererre.png,Milky way,Mwererre,054_mwererre.mp3,054phrase_mwererre.mp3,"Ye, Mwererre errwele nharte! Nharte arenawe! Nharte nte arene errwelepe. Mwererre rtame nhartepe atyene artntwerantyene, nte apeke etelarerrantyewethe tneyele akerre.","Look up there, see that, that's what we call the Milky Way. Im telling you this so you will remember it."
055_enterrke.png,Seven Sisters ,Enterrke,055_enterrke.mp3,055phrase_enterrke.mp3,"Nharte errwanthe arenawe, Enterrke nharte atye showem-aylerantye errwele nharte nte arene, Enterrkepe.","Look up you mob, that's the Seven Sisters, I'm showing you."
056_angketye_amperrane.png,Burning foot,Angketye amperrane,056_angketye_amperrane.mp3,056phrase_angketye_amperrane.mp3,"Aherrke-ketye ayenge anteyanawe, ileke-ketye ayenge anteyane, angketye aherrkele ayenge ampeketye.","I'm sitting down because of the prickles and because of the sun which is too hot, my feet might burn."
057_awerantyerrnge.png,Whirly wind,Awerantyerrnge,057_awerantyerrnge.mp3,057phrase_awerantyerrnge.pm3,Pwertaye! Rarre aynewanthe alarremeketye awerantyerrenge nharte apeyayterane aherne impentyele.,Look out for that whirly wind coming; it might throw dirt and dust towards us.
058_alenye.png,Running water,Alenye,058_alenye.mp3,058phrase_alenye.mp3,"Alenye nharte apeyayterane ketye antekerre theye, ayerrere theye apeke alenye ntheketyarte aynanthe arewene.","That flood water is coming from the south, or maybe the north. Let's have a look."
059_ngwetyanpe.png,Morning,Ngwetyanpe,059_ngwetyanpe.mp3,059phrase_ngwetyanpe.mp3,Ngwetyanpe nhartepe erlwaytenke kwerralye Erltwepe. ,Thats where the Morning Star rises in the morning.
060_artenyele.png,Midday ,Artenyele,060_artenyele.mp3,060phrase_artenyele.mp3,Artenyele nyartepe alkerele errwelarrenhele. Artentyele.,It's midday the sun is directly above us.
061_atwerrpe.png,Late afternoon,Atwerrpe,061_atwerrpe.mp3,061phrase_atwerrpe.mp3,Aherrke nyarte atnywerrane atwerrparrerane.,"The sun is going down, it's late afternoon."
062_atnkwarengele.png,Night-time,Atnkwarengele,062_atnkwarengele.mp3,062phrase_atnkwarengele.mp3,Atnkwarengele aynanthe alpewenawe!,Let's go its nighttime.
